,open,close,low,high,volume,money,high_limit,low_limit,avg,label
2007-04-25,3708.57,3743.96,3653.99,3769.25,15176306100.0,175452455903.0,4092.59,3348.48,3718.004,3783.06
2007-04-26,3766.48,3783.06,3732.6,3784.68,11725696800.0,142165936637.0,4118.35,3369.56,3769.932,3759.87
2007-04-27,3788.75,3759.87,3720.6,3802.92,13217545600.0,162822800030.0,4161.37,3404.76,3767.799,3841.27
2007-04-30,3784.27,3841.27,3759.48,3851.35,14652571300.0,185961936569.0,4135.85,3383.88,3811.73,3950.01
2007-05-08,3937.94,3950.01,3901.33,3964.71,16056820000.0,205192339642.0,4225.4,3457.14,3935.483,4013.09
2007-05-09,3961.1,4013.09,3875.38,4015.22,20839744900.0,255328664196.0,4345.01,3555.01,3968.509,4049.7
2007-05-10,4021.42,4049.7,3991.48,4072.14,17111394000.0,207740725020.0,4414.39,3611.78,4040.917,4021.68
2007-05-11,4024.42,4021.68,3949.37,4039.67,14063821000.0,183254862162.0,4454.67,3644.73,4000.458,4046.39
2007-05-14,3970.66,4046.39,3940.36,4081.43,13932622100.0,185075204987.0,4423.85,3619.51,4039.988,3899.18
2007-05-15,4055.83,3899.18,3891.36,4069.85,15667755300.0,205493668913.0,4451.03,3641.75,3988.324,3986.04
2007-05-16,3890.81,3986.04,3845.23,3987.41,13171977400.0,172408865917.0,4289.1,3509.26,3918.639,4048.29
2007-05-17,4002.49,4048.29,3982.99,4064.28,13927798800.0,187794811308.0,4384.65,3587.44,4032.402,4030.26
2007-05-18,4041.39,4030.26,3999.16,4052.1,13075627400.0,173636673327.0,4453.12,3643.46,4029.038,4072.22
2007-05-21,3902.35,4072.22,3892.97,4083.42,15617106200.0,209602322742.0,4433.28,3627.23,4034.729,4110.38
2007-05-22,4091.14,4110.38,4086.82,4136.63,17356209000.0,233094574167.0,4479.45,3665.0,4112.739,4173.71
2007-05-23,4125.43,4173.71,4093.91,4175.44,16139947800.0,219307694370.0,4521.42,3699.34,4140.787,4151.13
2007-05-24,4188.68,4151.13,4089.39,4208.39,18098438800.0,251632502236.0,4591.08,3756.34,4155.253,4179.78
2007-05-25,4133.19,4179.78,4111.26,4190.47,15419286000.0,220997704703.0,4566.25,3736.02,4165.303,4272.11
2007-05-28,4221.58,4272.11,4215.24,4283.93,17861517400.0,258106458037.0,4597.75,3761.8,4255.374,4334.92
2007-05-29,4288.98,4334.92,4262.02,4335.96,17209764200.0,248630290482.0,4699.32,3844.9,4302.634,4053.09
2007-05-30,4087.41,4053.09,4015.51,4275.24,18559672900.0,271294175467.0,4768.42,3901.43,4146.674,4109.65
2007-05-31,4006.28,4109.65,3858.04,4178.11,17311531200.0,239521892151.0,4458.4,3647.78,4031.778,4000.74
2007-06-01,4120.63,4000.74,3966.98,4181.28,16093498500.0,228347542960.0,4520.62,3698.69,4111.768,3670.4
2007-06-04,3981.82,3670.4,3659.09,3987.27,11485935700.0,145977950795.0,4400.82,3600.67,3792.761,3767.1
2007-06-05,3564.43,3767.1,3404.15,3768.56,15713795900.0,179214278131.0,4037.44,3303.36,3602.364,3776.32
2007-06-06,3781.38,3776.32,3682.79,3821.7,14587385200.0,175206331655.0,4143.81,3390.39,3771.049,3890.8
2007-06-07,3787.7,3890.8,3779.5,3891.4,14236647500.0,177770803107.0,4153.95,3398.69,3834.33,3913.14
2007-06-08,3900.03,3913.14,3852.05,3935.79,13587719200.0,179390324018.0,4279.88,3501.72,3900.6,3995.68
2007-06-11,3942.01,3995.68,3930.74,4000.42,13384273900.0,179227722559.0,4304.45,3521.82,3968.075,4072.14
2007-06-12,4011.68,4072.14,3910.0,4073.18,14947239800.0,205009208977.0,4395.25,3596.11,4007.704,4176.48
2007-06-13,4110.74,4176.48,4102.04,4193.45,16694849900.0,220478795728.0,4479.35,3664.92,4152.063,4115.21
2007-06-14,4162.21,4115.21,4085.78,4179.73,13838560400.0,185906871486.0,4594.13,3758.83,4140.763,4132.87
2007-06-15,4085.66,4132.87,4067.36,4152.54,10866553200.0,151999781737.0,4526.73,3703.69,4118.616,4253.35
2007-06-18,4195.39,4253.35,4193.31,4267.74,12897774800.0,182221260867.0,4546.16,3719.58,4236.533,4269.52
2007-06-19,4247.74,4269.52,4209.57,4280.85,12458181400.0,179301809551.0,4678.68,3828.01,4253.855,4181.32
2007-06-20,4269.45,4181.32,4164.27,4312.0,13521277500.0,191919677873.0,4696.48,3842.57,4263.944,4230.82
2007-06-21,4170.89,4230.82,4147.05,4256.54,11291985600.0,161782945041.0,4599.46,3763.19,4208.482,4091.45
2007-06-22,4230.97,4091.45,4024.49,4249.43,11969203700.0,167518680495.0,4653.91,3807.74,4153.924,3941.08
2007-06-25,4102.79,3941.08,3912.42,4131.13,10160665500.0,140594187156.0,4500.59,3682.3,4036.935,3973.37
2007-06-26,3863.25,3973.37,3818.85,3976.19,9381746900.0,122451664946.0,4335.19,3546.97,3891.551,4078.6
2007-06-27,3985.72,4078.6,3948.29,4090.72,9511348100.0,126425584927.0,4370.71,3576.03,4020.483,3914.2
2007-06-28,4080.19,3914.2,3912.81,4113.28,9783161000.0,127378548964.0,4486.46,3670.74,4034.021,3820.7
2007-06-29,3824.29,3820.7,3779.81,3919.34,8609998500.0,104760685164.0,4305.62,3522.78,3846.154,3836.29
2007-07-02,3800.23,3836.29,3724.19,3859.86,7425406000.0,89585502290.0,4202.77,3438.63,3802.038,3899.72
2007-07-03,3854.72,3899.72,3821.46,3906.76,6974921700.0,85506976110.0,4219.92,3452.66,3874.716,3816.16
2007-07-04,3906.01,3816.16,3800.28,3916.47,5647477700.0,72263450668.0,4289.7,3509.75,3868.144,3615.87
2007-07-05,3769.64,3615.87,3614.53,3778.4,6340593600.0,73755081218.0,4197.78,3434.55,3698.535,3781.35
2007-07-06,3599.82,3781.35,3563.54,3785.35,8073724100.0,92306322866.0,3977.46,3254.28,3678.056,3883.22
2007-07-09,3809.67,3883.22,3782.73,3900.9,8348053900.0,99410612113.0,4159.48,3403.21,3851.428,3853.02
2007-07-10,3895.91,3853.02,3841.8,3929.42,7656333400.0,93739498017.0,4271.54,3494.89,3884.887,3865.72
2007-07-11,3837.8,3865.72,3812.14,3879.29,5135388000.0,62299661073.0,4238.32,3467.72,3851.627,3915.99
2007-07-12,3874.04,3915.99,3861.04,3925.6,5515836300.0,70286328097.0,4252.3,3479.15,3893.101,3914.39
2007-07-13,3920.83,3914.39,3878.18,3935.51,4602447100.0,56375761362.0,4307.59,3524.39,3909.249,3821.92
2007-07-16,3920.65,3821.92,3820.57,3931.87,4761528000.0,58881864143.0,4305.83,3522.96,3877.715,3896.19
2007-07-17,3809.56,3896.19,3767.22,3919.78,4871222300.0,60523645457.0,4204.11,3439.72,3850.935,3930.06
2007-07-18,3880.85,3930.06,3861.91,3971.61,6287183400.0,80028948101.0,4285.81,3506.57,3929.575,3912.94
2007-07-19,3918.54,3912.94,3887.59,3947.33,4873759500.0,62965662475.0,4323.07,3537.05,3920.623,4058.85
2007-07-20,3918.41,4058.85,3918.41,4062.12,8311064600.0,104714346685.0,4304.24,3521.65,4008.248,4213.36
2007-07-23,4091.24,4213.36,4091.24,4220.32,12166896400.0,154332859433.0,4464.74,3652.97,4171.64,4210.33
2007-07-24,4238.32,4210.33,4192.72,4284.83,11098925200.0,141618784323.0,4634.7,3792.02,4238.608,4323.97
2007-07-25,4212.95,4323.97,4212.23,4325.38,9395004300.0,125682739518.0,4631.36,3789.3,4265.3,4346.46
2007-07-26,4347.78,4346.46,4304.19,4371.51,9921066900.0,132786189685.0,4756.36,3891.57,4339.402,4345.36
2007-07-27,4315.37,4345.36,4268.79,4357.34,10024581300.0,137558703076.0,4781.1,3911.81,4323.79,4440.77
2007-07-30,4348.61,4440.77,4345.79,4450.19,11258976800.0,153510486537.0,4779.89,3910.82,4412.978,4471.03
2007-07-31,4432.27,4471.03,4379.2,4476.63,10856141000.0,150412365422.0,4884.85,3996.69,4439.562,4300.56
2007-08-01,4488.77,4300.56,4284.87,4502.3,12629287400.0,171068701877.0,4918.14,4023.93,4407.236,4407.73
2007-08-02,4316.57,4407.73,4290.81,4431.85,9827857800.0,140922818854.0,4730.62,3870.51,4375.525,4560.77
2007-08-03,4440.98,4560.77,4438.96,4562.69,11511667200.0,173672679996.0,4848.5,3966.96,4503.303,4628.11
2007-08-06,4600.12,4628.11,4564.31,4629.97,11170797900.0,167699345008.0,5016.85,4104.7,4602.393,4651.23
2007-08-07,4642.01,4651.23,4581.29,4687.44,11618108500.0,180146927829.0,5090.92,4165.3,4641.187,4663.16
2007-08-08,4614.59,4663.16,4568.69,4711.32,11890916300.0,158919476887.0,5116.35,4186.1,4646.814,4754.1
2007-08-09,4658.59,4754.1,4658.59,4768.89,9766019800.0,138091129509.0,5129.48,4196.85,4727.897,4749.37
2007-08-10,4745.18,4749.37,4640.77,4769.62,10186705800.0,147223396483.0,5229.5,4278.69,4724.568,4820.06
2007-08-13,4768.62,4820.06,4728.89,4872.55,11418471400.0,161692702661.0,5224.31,4274.43,4809.469,4872.78
2007-08-14,4820.15,4872.78,4789.9,4876.85,8856820800.0,128066264833.0,5302.07,4338.06,4837.957,4869.88
2007-08-15,4875.51,4869.88,4762.72,4916.31,9050967500.0,131310547325.0,5360.06,4385.51,4858.888,4765.45
2007-08-16,4845.02,4765.45,4710.31,4845.02,9053841100.0,128304423991.0,5356.87,4382.89,4776.85,4656.57
2007-08-17,4733.14,4656.57,4646.43,4814.37,9115904800.0,133777847741.0,5241.99,4288.9,4723.215,4904.85
2007-08-20,4773.83,4904.85,4758.4,4906.0,9915293700.0,145314066770.0,5122.23,4190.92,4847.562,4955.21
2007-08-21,4944.21,4955.21,4917.82,4982.98,10420410900.0,155844668995.0,5395.34,4414.37,4949.743,4980.07
2007-08-22,4876.35,4980.07,4861.27,4999.19,10811093800.0,162198413490.0,5450.73,4459.69,4969.554,5032.49
2007-08-23,5002.84,5032.49,4968.33,5050.38,9930942800.0,153367600811.0,5478.08,4482.07,5013.93,5107.67
2007-08-24,5070.65,5107.67,5052.24,5125.36,10899563600.0,165331338353.0,5535.74,4529.24,5093.936,5150.12
2007-08-27,5144.82,5150.12,5092.08,5192.06,11615424400.0,176176629649.0,5618.43,4596.9,5154.615,5194.69
2007-08-28,5134.14,5194.69,5058.45,5209.51,10543673900.0,166941754821.0,5665.13,4635.11,5144.033,5109.43
2007-08-29,5147.71,5109.43,5063.41,5204.53,10082413900.0,161872469802.0,5714.16,4675.22,5139.554,5167.88
2007-08-30,5144.11,5167.88,5109.66,5186.53,10121058400.0,155042610334.0,5620.37,4598.48,5152.869,5218.82
2007-08-31,5184.09,5218.82,5158.37,5235.16,10355626100.0,156775077724.0,5684.67,4651.1,5197.004,5321.06
2007-09-03,5257.78,5321.06,5257.78,5327.54,12577964900.0,188862012215.0,5740.71,4696.94,5306.596,5294.05
2007-09-04,5333.4,5294.05,5265.0,5357.93,12042636800.0,186424946743.0,5853.16,4788.95,5310.104,5310.72
2007-09-05,5296.07,5310.72,5223.67,5337.93,9624062400.0,150817120066.0,5823.45,4764.64,5291.682,5393.66
2007-09-06,5336.67,5393.66,5314.34,5412.32,10698796600.0,165201384871.0,5841.79,4779.64,5371.451,5277.18
2007-09-07,5381.19,5277.18,5269.25,5405.36,11984102900.0,186645691016.0,5933.03,4854.29,5330.749,5355.29
2007-09-10,5208.32,5355.29,5169.9,5356.86,10236823500.0,153001820685.0,5804.89,4749.46,5265.774,5113.97
2007-09-11,5362.94,5113.97,5093.92,5395.04,11005526200.0,169972939265.0,5890.82,4819.76,5305.221,5172.63
2007-09-12,5092.58,5172.63,5025.34,5192.3,9705885500.0,149242811390.0,5625.36,4602.57,5117.796,5273.59
2007-09-13,5193.41,5273.59,5178.87,5276.77,8655021600.0,140652710567.0,5689.89,4655.36,5231.326,5312.18
2007-09-14,5290.26,5312.18,5201.85,5324.44,9467391200.0,152131382170.0,5800.95,4746.23,5272.166,5421.39
2007-09-17,5309.06,5421.39,5307.77,5427.17,10563860900.0,167122485773.0,5843.4,4780.96,5385.015,5425.21
2007-09-18,5446.73,5425.21,5339.92,5458.58,10269099400.0,167849067345.0,5963.53,4879.25,5403.298,5395.27
2007-09-19,5439.02,5395.27,5336.07,5447.36,8972550000.0,150248633262.0,5967.73,4882.69,5397.347,5470.06
2007-09-20,5408.48,5470.06,5396.11,5482.43,8654720500.0,143185150092.0,5934.79,4855.74,5447.283,5454.67
2007-09-21,5482.51,5454.67,5363.35,5489.07,9283880900.0,150683711876.0,6017.07,4923.06,5438.638,5485.01
2007-09-24,5469.84,5485.01,5404.42,5506.06,8179847100.0,141849593007.0,6000.14,4909.21,5468.86,5425.88
2007-09-25,5500.27,5425.88,5396.48,5509.23,9650957900.0,141709668240.0,6033.51,4936.51,5457.141,5338.52
2007-09-26,5407.83,5338.52,5320.02,5463.9,6360858500.0,105528671027.0,5968.47,4883.29,5402.018,5409.4
2007-09-27,5338.11,5409.4,5306.82,5411.19,5888430000.0,96153707825.0,5872.37,4804.67,5361.448,5552.3
2007-09-28,5461.58,5552.3,5461.58,5560.42,8063128500.0,138811825672.0,5950.34,4868.46,5525.566,5692.76
2007-10-08,5683.31,5692.76,5620.0,5729.96,9598308300.0,155880381877.0,6107.53,4997.07,5684.262,5715.89
2007-10-09,5678.91,5715.89,5628.35,5725.41,8328903000.0,162493057145.0,6262.03,5123.48,5690.232,5771.46
2007-10-10,5742.65,5771.46,5727.24,5860.86,9244534400.0,165450578787.0,6287.48,5144.3,5802.147,5913.23
2007-10-11,5798.39,5913.23,5755.99,5914.77,9470965700.0,177988529894.0,6348.61,5194.32,5847.704,5903.26
2007-10-12,5950.9,5903.26,5658.81,5959.36,11914843200.0,219294974982.0,6504.55,5321.91,5855.567,6030.09
2007-10-15,5934.77,6030.09,5866.13,6039.04,9870744200.0,193469592271.0,6493.59,5312.94,5961.264,6092.06
2007-10-16,6056.95,6092.06,6040.71,6124.04,8815215900.0,163547657231.0,6633.09,5427.08,6085.126,6036.28
2007-10-17,6057.43,6036.28,5982.2,6088.89,7131258800.0,133700992263.0,6701.26,5482.85,6044.606,5825.28
2007-10-18,6031.92,5825.28,5804.97,6055.47,6980542500.0,130346998328.0,6639.91,5432.65,5906.249,5818.05
2007-10-19,5869.12,5818.05,5766.86,5932.11,5522489200.0,103271964141.0,6407.81,5242.75,5837.399,5667.33
2007-10-22,5742.79,5667.33,5654.91,5804.84,5443367400.0,95560238009.0,6399.85,5236.24,5724.625,5773.39
2007-10-23,5660.07,5773.39,5574.84,5776.02,5845396800.0,101206050720.0,6234.07,5100.6,5673.597,5843.11
2007-10-24,5804.02,5843.11,5793.56,5906.69,6029283100.0,108657305208.0,6350.73,5196.05,5855.034,5562.39
2007-10-25,5794.22,5562.39,5546.04,5819.88,7171444800.0,119753910619.0,6427.42,5258.8,5674.254,5589.63
2007-10-26,5498.86,5589.63,5462.01,5628.83,5151917500.0,87405045004.0,6118.63,5006.15,5547.792,5748.0
2007-10-29,5641.98,5748.0,5617.98,5750.25,5016440200.0,82105126005.0,6148.59,5030.67,5701.643,5897.19
